,Method,aligned_circular_agreement,mean_abs_wrapped_error,radius_cv,noise,density_ratio,seed,k,n_points
1,LE,0.9693486617137369,0.2286285196241117,0.11743226296355058,0.0,1.5,25,10,500
0,DM,0.9862434042984053,0.14359734923025594,0.0837051945422179,0.0,1.5,26,10,500
1,LE,0.9784887807782356,0.17268922339401457,0.10768462188451206,0.0,1.5,26,10,500
0,DM,0.9866823963118962,0.136329010254551,0.07554863201938972,0.0,1.5,27,10,500
1,LE,0.981514009403078,0.15094048461815499,0.11310937762487723,0.0,1.5,27,10,500
0,DM,0.9731044428011935,0.19881409945860895,0.0772094294199139,0.0,1.5,28,10,500
1,LE,0.9581040079650011,0.24465742507713276,0.1354025834427925,0.0,1.5,28,10,500
0,DM,0.9828467346631482,0.16195581273612442,0.07908409860107855,0.0,1.5,29,10,500
1,LE,0.9711975521424767,0.20125636629134583,0.1020005680028705,0.0,1.5,29,10,500
0,DM,0.9776258264266562,0.18191566974435752,0.08082646767885909,0.0,1.5,30,10,500
1,LE,0.9671589808141442,0.2233098117229084,0.1152943551779673,0.0,1.5,30,10,500
0,DM,0.9697518919257108,0.22045784742417682,0.09794724758424328,0.0,1.5,31,10,500
1,LE,0.9624801943062262,0.24923586421184057,0.14680406409585853,0.0,1.5,31,10,500
0,DM,0.9813099278561586,0.17509660985940032,0.07566974606882344,0.0,1.5,32,10,500
1,LE,0.9711706903443315,0.20845822060970334,0.13196885313387938,0.0,1.5,32,10,500
0,DM,0.9815387921753065,0.16603810740021308,0.07528673485699129,0.0,1.5,33,10,500
1,LE,0.9716218725309114,0.1892054898590396,0.11285084915546113,0.0,1.5,33,10,500
0,DM,0.983668402961297,0.15948804994932334,0.07361057899353275,0.0,1.5,34,10,500
1,LE,0.9747066023476594,0.18057332094296152,0.10019756579133131,0.0,1.5,34,10,500
0,DM,0.9805357049276113,0.1754213022702826,0.07272052634379969,0.0,1.5,35,10,500
1,LE,0.9743266905422973,0.20075268947542318,0.12424510016685861,0.0,1.5,35,10,500
0,DM,0.980768079361427,0.17582605950898755,0.07633881059998301,0.0,1.5,36,10,500
1,LE,0.9714699213035103,0.21156351275837598,0.10445412925527513,0.0,1.5,36,10,500
0,DM,0.9781529275668791,0.19324324184426564,0.1007687027898243,0.0,1.5,37,10,500
1,LE,0.9728572993622839,0.21092260981551647,0.12545389449029792,0.0,1.5,37,10,500
0,DM,0.9815907446821054,0.16915845344929936,0.07310685800757033,0.0,1.5,38,10,500
1,LE,0.9725994371150138,0.19652271409268512,0.11607652944833209,0.0,1.5,38,10,500
0,DM,0.980389676192164,0.16598026520775783,0.07412585978859151,0.0,1.5,39,10,500
1,LE,0.9737355193500457,0.1859816298338887,0.09667522584483562,0.0,1.5,39,10,500
0,DM,0.9855331096124692,0.14239480390838766,0.07217990247227458,0.0,1.5,40,10,500
1,LE,0.9767006512874524,0.17448685037178308,0.11559420599021636,0.0,1.5,40,10,500
0,DM,0.9708246835964365,0.2194102148688185,0.07961106705421704,0.0,1.5,41,10,500
1,LE,0.9626425545080791,0.24240823426666347,0.13540449002850302,0.0,1.5,41,10,500
0,DM,0.9801938945620318,0.17054495889815138,0.078463043635228,0.0,1.5,42,10,500
1,LE,0.9717372338235881,0.1871726542226153,0.12851225299531177,0.0,1.5,42,10,500
0,DM,0.9272446413619422,0.3411603467788003,0.1587575178404639,0.0,1.5,43,10,500
1,LE,0.9154057464466671,0.3676258716694819,0.21192580398279987,0.0,1.5,43,10,500
0,DM,0.9785867828877471,0.1784848928841422,0.07619908219433773,0.0,1.5,44,10,500
1,LE,0.9696453107974141,0.2037221715695302,0.1214255889205611,0.0,1.5,44,10,500
0,DM,0.9735421590945335,0.2196734099549123,0.09212511768458834,0.0,1.5,45,10,500
1,LE,0.9687336184866587,0.22918984511317494,0.11524039733366194,0.0,1.5,45,10,500
0,DM,0.9689138461950144,0.2175865680583049,0.08002207118098006,0.0,1.5,46,10,500
1,LE,0.9570597939059305,0.253814444596825,0.12209616412188339,0.0,1.5,46,10,500
0,DM,0.9857483757622701,0.14091661997336363,0.08243022979830614,0.0,1.5,47,10,500
1,LE,0.979132114061642,0.16898228936635407,0.14474567910516037,0.0,1.5,47,10,500
0,DM,0.9811216351549356,0.1746469454255846,0.0772875124512462,0.0,1.5,48,10,500
