,Method,aligned_circular_agreement,mean_abs_wrapped_error,radius_cv,noise,density_ratio,seed,k,n_points
0,DM,0.951343243855309,0.28622799746137884,0.08128591774379501,0.0,2.0,36,10,500
1,LE,0.4662871509786811,0.934636034471825,0.1141686845151657,0.0,2.0,36,10,500
0,DM,0.9462812285248051,0.2982379701233586,0.11057556238069792,0.0,2.0,37,10,500
1,LE,0.5132279477626678,0.899930040472766,0.16139855475451342,0.0,2.0,37,10,500
0,DM,0.9594287058755808,0.2443341121809449,0.07586173416958675,0.0,2.0,38,10,500
1,LE,0.548107826200405,0.826394960219515,0.08272036621435527,0.0,2.0,38,10,500
0,DM,0.9467808851239916,0.2879632915343945,0.07420204342558691,0.0,2.0,39,10,500
1,LE,0.5776152366519567,0.778234681940805,0.08548101228004655,0.0,2.0,39,10,500
0,DM,0.9534213986835568,0.26294135872637764,0.07524570752220476,0.0,2.0,40,10,500
1,LE,0.534703580755775,0.8258165114689839,0.0830510426425244,0.0,2.0,40,10,500
0,DM,0.9404697478229955,0.3131440746093059,0.093456613059214,0.0,2.0,41,10,500
1,LE,0.46848618329606,0.9505080489905644,0.10621120773035049,0.0,2.0,41,10,500
0,DM,0.9425992763636544,0.29361611399736004,0.07655116119187753,0.0,2.0,42,10,500
1,LE,0.6009109818310246,0.7471511228185098,0.09380729483346728,0.0,2.0,42,10,500
0,DM,0.9320100503008516,0.35142029954998416,0.11060005677153888,0.0,2.0,43,10,500
1,LE,0.6781869075309004,0.6797289969381023,0.15136920582203278,0.0,2.0,43,10,500
0,DM,0.949977898935851,0.2735884549955548,0.07449948804204605,0.0,2.0,44,10,500
1,LE,0.46965253529620987,0.9342976220590854,0.09973871338186495,0.0,2.0,44,10,500
